# Sensor-Calibrated Transmission Data
# Combined transmission and Hamamatsu sensor response
# Source transmission: transmission_calibration.txt
# Source sensor response: hamamatsu_spectral_response.png
# Format: Spectrum_Number, Filename, Peak_Wavelength(nm), Max_Normalized_Transmission, Sensor_Response(%), Combined_Response
#====================================================================================================
0,  0.txt, 703.20, 0.288693, 84.29, 0.243339
1,  1.txt, 692.32, 0.330336, 86.52, 0.285800
2,  2.txt, 685.83, 0.411924, 87.83, 0.361776
3,  3.txt, 679.41, 0.444911, 88.99, 0.395934
4,  4.txt, 673.78, 0.459353, 90.01, 0.413449
5,  5.txt, 663.47, 0.361829, 92.02, 0.332970
6,  6.txt, 655.83, 0.473428, 93.40, 0.442173
7,  7.txt, 646.47, 0.468478, 94.70, 0.443652
8,  8.txt, 637.07, 0.412376, 95.69, 0.394600
9,  9.txt, 629.31, 0.464832, 96.41, 0.448123
10,  10.txt, 621.59, 0.315997, 97.16, 0.307024
11,  11.txt, 609.37, 0.511345, 98.08, 0.501536
12,  12.txt, 602.89, 0.434920, 98.39, 0.427919
13,  13.txt, 591.74, 0.386751, 98.83, 0.382214
14,  14.txt, 581.16, 0.635982, 98.97, 0.629454
15,  15.txt, 572.49, 0.677708, 99.27, 0.672739
16,  16.txt, 562.48, 0.838348, 99.27, 0.832202
17,  17.txt, 553.81, 1.007686, 98.79, 0.995528
18,  18.txt, 544.34, 1.034612, 98.04, 1.014365
19,  19.txt, 535.35, 1.035832, 97.00, 1.004780
20,  20.txt, 526.31, 1.002808, 95.87, 0.961398
21,  21.txt, 517.45, 0.988873, 94.75, 0.936960
22,  22.txt, 509.05, 0.972234, 93.42, 0.908228
23,  23.txt, 500.62, 0.939789, 91.92, 0.863868
24,  24.txt, 492.44, 0.917742, 90.25, 0.828302
25,  25.txt, 484.50, 0.865640, 88.46, 0.765728
26,  26.txt, 476.71, 0.794874, 86.34, 0.686264
27,  27.txt, 467.69, 0.781673, 83.62, 0.653610
28,  28.txt, 459.86, 0.741705, 80.86, 0.599711
29,  29.txt, 452.17, 0.688228, 77.49, 0.533323
