# Transmission Calibration Data
# Mean wavelength calculated within +/- 40nm of peak
# Mean intensity calculated within +/- 5nm of mean wavelength
# Format: Spectrum_Number, Filename, Mean_Wavelength(nm), Mean_Intensity
#================================================================================
0, 0.txt, 703.20, 0.288693
1, 1.txt, 692.32, 0.330336
2, 2.txt, 685.83, 0.411924
3, 3.txt, 679.41, 0.444911
4, 4.txt, 673.78, 0.459353
5, 5.txt, 663.47, 0.361829
6, 6.txt, 655.83, 0.473428
7, 7.txt, 646.47, 0.468478
8, 8.txt, 637.07, 0.412376
9, 9.txt, 629.31, 0.464832
10, 10.txt, 621.59, 0.315997
11, 11.txt, 609.37, 0.511345
12, 12.txt, 602.89, 0.434920
13, 13.txt, 591.74, 0.386751
14, 14.txt, 581.16, 0.635982
15, 15.txt, 572.49, 0.677708
16, 16.txt, 562.48, 0.838348
17, 17.txt, 553.81, 1.007686
18, 18.txt, 544.34, 1.034612
19, 19.txt, 535.35, 1.035832
20, 20.txt, 526.31, 1.002808
21, 21.txt, 517.45, 0.988873
22, 22.txt, 509.05, 0.972234
23, 23.txt, 500.62, 0.939789
24, 24.txt, 492.44, 0.917742
25, 25.txt, 484.50, 0.865640
26, 26.txt, 476.71, 0.794874
27, 27.txt, 467.69, 0.781673
28, 28.txt, 459.86, 0.741705
29, 29.txt, 452.17, 0.688228
